,nom_site,nom_pompe,debut_env,fin_env,date_+24h,temp_env,Temps_indispo_cum,NBhpen,penalisation
0,BAS BOUSCAT 2,BOU2BT___D,2021-08-28 18:02:00,2021-08-28 22:48:00,2021-08-29 18:02:00,286,46,1,100
1,BAS BOUSCAT 2,BOU2BT___D,2021-09-27 09:12:00,2021-09-28 09:12:00,2021-09-28 09:12:00,1440,1200,20,2000
2,BAS BOUSCAT 2,BOU2BT___D,2021-09-28 09:12:00,2021-09-29 09:12:00,2021-09-29 09:12:00,1440,1200,20,2000
3,BAS BOUSCAT 2,BOU2BAC_NH,2021-09-29 09:12:00,2021-09-30 02:56:00,2021-09-28 09:12:00,1064,824,14,1400
0,BENAUGE PI,U5_DATA1,2021-10-28 06:19:00,2021-10-28 17:45:00,2021-10-29 06:19:00,686,446,8,800
0,MICHAELIS PI,JJ_DISPO_EP2,2021-12-05 02:00:00,2021-12-05 04:00:00,2021-12-06 02:00:00,120,0,0,0
1,MICHAELIS PI,JJ_DATA5,2021-12-07 22:00:00,2021-12-08 02:30:00,2021-12-08 22:00:00,270,30,1,100
2,MICHAELIS PI,JJ_DISPO_EP3,2021-12-09 01:00:00,2021-12-09 03:00:00,2021-12-10 01:00:00,120,0,0,0
3,MICHAELIS PI,JJ_DISPO_EP3,2021-12-09 01:00:00,2021-12-09 07:00:00,2021-12-10 06:00:00,60,0,0,0
4,MICHAELIS PI,JJ_DISPO_EP3,2021-12-09 01:00:00,2021-12-09 16:00:00,2021-12-10 14:00:00,120,60,1,100
5,MICHAELIS PI,JJ_DISPO_EP3,2021-12-13 12:00:00,2021-12-14 12:00:00,2021-12-14 12:00:00,1440,1200,20,2000
6,MICHAELIS PI,JJ_DISPO_EP3,2021-12-14 12:00:00,2021-12-15 12:00:00,2021-12-15 12:00:00,1440,1200,20,2000
7,MICHAELIS PI,JJ_DISPO_EP3,2021-12-15 12:00:00,2021-12-16 12:00:00,2021-12-16 12:00:00,1440,1200,20,2000
8,MICHAELIS PI,JJ_DISPO_EP3,2021-12-16 12:00:00,2021-12-17 12:00:00,2021-12-17 12:00:00,1440,1200,20,2000
9,MICHAELIS PI,JJ_DISPO_EP3,2021-12-17 12:00:00,2021-12-17 16:00:00,2021-12-14 12:00:00,240,0,0,0
0,ORNANO,ORNABAC_NH,2021-12-08 12:00:00,2021-12-08 17:00:00,2021-12-09 12:00:00,300,60,1,100
1,ORNANO,ORNABT___D,2021-12-10 10:14:30,2021-12-10 14:16:20,2021-12-11 10:14:30,241,1,1,100
2,ORNANO,ORNABT___D,2021-12-12 05:00:00,2021-12-12 10:00:00,2021-12-13 05:00:00,300,60,1,100
